epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,880.132,1.05191,1.33487,0.75433,1.11503,0,0.70488,0.50703,0.57306,0.29224,0.71149,0.51105,0.58215,0.30447,1.94455,0.98952,2.23306,1.74684,0,0.0004456,0.0004456,0.0004456
30,909.071,0.99614,1.25405,0.73808,1.09602,0,0.49828,0.59167,0.54318,0.24795,0.51233,0.60288,0.5589,0.28394,2.02923,0.95633,2.1144,1.77536,0,0.0004258,0.0004258,0.0004258
31,938.175,1.0269,1.2589,0.7367,1.10394,0,0.50385,0.51183,0.54357,0.27192,0.50892,0.5152,0.55064,0.29152,1.92577,1.05589,2.31494,1.73868,0,0.000406,0.000406,0.000406
32,966.549,0.99326,1.26503,0.70373,1.08793,0,0.6239,0.5533,0.59681,0.28127,0.62822,0.55666,0.61041,0.30217,2.11274,0.91372,2.09485,1.84695,0,0.0003862,0.0003862,0.0003862
33,995.231,0.99334,1.22517,0.67285,1.07414,0,0.63484,0.49278,0.55215,0.26531,0.68058,0.48581,0.56675,0.28058,2.12549,0.89849,2.18935,1.90805,0,0.0003664,0.0003664,0.0003664
34,1023.97,0.97371,1.21479,0.68095,1.0748,0,0.72036,0.4683,0.5553,0.24932,0.7339,0.48346,0.57647,0.28175,2.26141,0.89597,2.18027,1.99147,0,0.0003466,0.0003466,0.0003466
35,1052.65,0.95697,1.21544,0.65419,1.07045,0,0.51911,0.42399,0.51581,0.24032,0.43837,0.54743,0.53869,0.26039,2.17717,0.90417,2.35845,1.95757,0,0.0003268,0.0003268,0.0003268
36,1081.56,0.91219,1.19904,0.63281,1.0533,0,0.43616,0.5015,0.51764,0.26246,0.44752,0.51435,0.52718,0.27832,2.02995,0.91627,2.32015,1.80445,0,0.000307,0.000307,0.000307
37,1110.38,0.92582,1.17735,0.61149,1.03379,0,0.73476,0.40365,0.51829,0.25337,0.74665,0.41568,0.53824,0.28008,2.11759,0.95404,2.28745,1.89755,0,0.0002872,0.0002872,0.0002872
38,1139.51,0.88871,1.1664,0.60112,1.01762,0,0.49775,0.49335,0.54534,0.27189,0.50737,0.49736,0.5566,0.2867,2.02713,0.94067,2.27369,1.82547,0,0.0002674,0.0002674,0.0002674
39,1168.29,0.87472,1.15423,0.58198,1.0167,0,0.47141,0.48881,0.51285,0.24714,0.48481,0.4999,0.53231,0.27225,2.09529,0.9618,2.4269,1.87206,0,0.0002476,0.0002476,0.0002476
40,1196.86,0.87397,1.13252,0.57945,1.00841,0,0.52848,0.51388,0.5518,0.25822,0.54304,0.52709,0.56896,0.28502,2.13298,0.91559,2.20817,1.89795,0,0.0002278,0.0002278,0.0002278
41,1226.77,0.82981,1.12472,0.5534,0.99089,0,0.45386,0.51015,0.5186,0.25542,0.47699,0.52971,0.54106,0.27772,2.12759,0.93824,2.39873,1.88533,0,0.000208,0.000208,0.000208
42,1255.5,0.84144,1.11558,0.54635,0.99497,0,0.49068,0.50324,0.54855,0.27209,0.50948,0.51733,0.57495,0.294,2.12352,0.95898,2.11404,1.89191,0,0.0001882,0.0001882,0.0001882
43,1284.25,0.77791,1.12503,0.5285,0.96224,0,0.5958,0.43529,0.5696,0.26835,0.60655,0.44818,0.58714,0.2942,2.16117,0.87904,2.14836,1.90161,0,0.0001684,0.0001684,0.0001684
44,1312.86,0.79491,1.08534,0.5252,0.97371,0,0.56663,0.49104,0.5709,0.26417,0.58308,0.50347,0.59359,0.28761,2.18695,0.88589,2.07194,1.93314,0,0.0001486,0.0001486,0.0001486
